Episode,Loss,Reward,Step
0,0.03756736376089975,0,37
1,0.032127751714803955,0,11
2,0.030208282059792316,0,33
3,0.027404591208323836,0,16
4,0.023378917947411537,0,6
5,0.027157526019783246,0,21
6,0.02153402753174305,0,6
7,0.024228680288282838,0,41
8,0.023707430809736252,0,2
9,0.023444449839492638,0,12
10,0.020944940283273657,0,60
11,0.016483685693570546,0,35
12,0.016168690067442024,0,17
13,0.016741661354899406,0,12
14,0.016669082593310763,0,27
15,0.01875159051269293,0,2
16,0.01734203581387798,0,27
17,0.016703816929033825,0,7
18,0.013403135972718397,0,6
19,0.013136128149926662,0,5
20,0.014031915459781885,0,4
21,0.016433112530244723,0,9
22,0.015617960132658482,0,3
23,0.013669033464975656,0,10
24,0.016257068142294884,0,6
25,0.015613934436046025,0,17
26,0.011847266095823475,0,7
27,0.013492441183682216,0,59
28,0.0120124610673104,0,7
29,0.01595557278589062,0,23
30,0.013974740635603666,0,4
31,0.014416638891109161,1,18
32,0.013976832713327697,0,37
33,0.013993545202538371,0,8
34,0.01624745792443199,0,14
35,0.014339452260173857,0,24
36,0.014748943969607353,0,2
37,0.01489394364346351,0,14
38,0.014642297188402154,0,32
39,0.022507866844534874,0,1
40,0.01360801335137624,0,39
41,0.012681731022894382,0,2
42,0.015880617359653116,0,10
43,0.00911502493545413,0,2
44,0.012869064355842195,0,13
45,0.012792130127887835,1,11
46,0.013602647062560374,0,44
47,0.012877219688380136,0,30
48,0.014122307637934478,0,49
49,0.014475614856928587,0,10
50,0.013515822356566787,0,8
51,0.013531448940436045,0,6
52,0.014767564522723356,0,3
53,0.008524953911546618,0,4
54,0.011208727559143747,0,27
55,0.015188949182629585,0,17
56,0.010710514150559902,0,3
57,0.01292231953702867,1,15
58,0.007796395104378462,0,2
59,0.012097438312290857,0,12
60,0.012568815844133496,0,4
61,0.010057120583951473,0,6
62,0.012432783181556379,0,23
63,0.014716829130934044,0,11
64,0.013170717674906232,0,28
65,0.012698180496226997,0,20
66,0.012900820050976779,1,19
67,0.015436773912774192,0,9
68,0.012882729813169975,0,13
69,0.015363857926179966,0,12
70,0.013088403934878963,0,7
71,0.013280517654493451,0,18
