Episode,Loss,Reward,Step
0,-1.5,-1.5,16
1,-1.5557142857142858,-1.5714285714285714,14
2,-1.3401818181818184,-1.3636363636363635,22
3,-2.27,-2.3333333333333335,6
4,-1.075687081081081,-1.1081081081081081,74
5,-1.4987142857142857,-1.5714285714285714,14
6,-1.1611975667777779,-1.2222222222222223,36
7,-1.2837160802909091,-1.3636363636363635,22
8,-1.0324232944030123,-1.0975609756097562,82
9,-1.1284507587881363,-1.1818181818181819,44
10,-1.5946492682839697,-1.8,10
11,-0.2522317268442277,-0.4,20
12,-1.1425297984599248,-1.2666666666666666,30
13,-1.111175450488513,-1.2352941176470589,34
14,-1.0815658279692655,-1.173913043478261,46
15,-1.4613818922870048,-1.6666666666666667,12
16,-1.00850190007242,-1.1111111111111112,72
17,-1.2372843632165542,-1.4444444444444444,18
18,-0.6358536987128045,-0.76,50
19,-1.0610698179120377,-1.1818181818181819,44
20,-1.2829255654604517,-1.5714285714285714,14
21,-1.1764254632011946,-1.4444444444444444,18
22,-1.077940160787429,-1.2,40
23,-1.0573348686010826,-1.1379310344827587,58
24,-0.414953784761866,-0.5714285714285714,28
25,-0.9951816955127151,-1.1904761904761905,42
26,-0.6293600596586935,-0.7692307692307693,52
27,-0.9967867451211123,-1.121212121212121,66
28,-1.6869352585111148,-2.3333333333333335,6
29,-0.9773962013397881,-1.1025641025641026,78
30,-0.9957102165865609,-1.0677966101694916,118
31,-1.1621897657899836,-1.5714285714285714,14
32,-1.621404202831605,-2.3333333333333335,6
33,-0.4529416779070258,-0.6666666666666666,36
34,-1.0127331234955814,-1.1025641025641026,78
35,-0.9963774963663881,-1.25,32
36,-0.13976176897300485,-0.4,20
37,-0.36411172354804017,-0.5714285714285714,28
38,-0.9299436774182847,-1.173913043478261,46
39,-0.215255267448067,-0.5,24
40,-1.024708471571067,-1.2,40
41,0.36832021943264054,0.0,12
42,-0.3669239414786775,-0.625,32
43,-1.2237965280934262,-1.8,10
44,-0.9898159468193758,-1.0975609756097562,82
45,0.3795018908288757,0.0,12
46,-0.9995994111306313,-1.2857142857142858,28
47,-1.1610655522443067,-1.8,10
48,-1.0170547831060885,-1.4444444444444444,18
49,-0.945549017647857,-1.0481927710843373,166
50,-0.26650960483088854,-0.5714285714285714,28
51,0.4002794943046408,0.0,12
52,-0.08595968370813609,-0.4,20
53,-0.9555009682344137,-1.2222222222222223,36
54,-0.07233347622157224,-0.4,20
55,-1.1313896702229638,-1.8,10
56,0.12375047514344967,-0.25,16
57,-0.07410467992161915,-0.4,20
58,-1.0804394211443338,-1.8,10
59,-0.9620275775888139,-1.4,20
60,0.40817375091055874,0.0,12
61,-1.3156614700010365,-2.3333333333333335,6
62,0.40798560486965857,0.0,12
63,-0.5810899987744146,-0.7692307692307693,52
64,0.1313596456994926,-0.25,16
65,0.11697081220628991,-0.25,16
66,-0.06300316350478989,-0.4,20
67,-0.7254882225828914,-0.8695652173913043,92
68,-0.16798457927618424,-0.5,24
69,0.40474461929823824,0.0,12
70,0.4035431077579823,0.0,12
71,-0.966579958548059,-1.0396039603960396,202
72,0.40208153257089085,0.0,12
73,0.12907209084683396,-0.25,16
74,-0.06448797091256794,-0.4,20
75,0.3959572143650816,0.0,12
76,0.3932901752146936,0.0,12
77,-0.1993252357394889,-0.5,24
78,0.38632808299367477,0.0,12
79,0.3827288584505055,0.0,12
80,0.3787895606921781,0.0,12
81,0.374514661868025,0.0,12
82,0.36991114900581995,0.0,12
83,0.36498834415787956,0.0,12
84,0.359757705519965,0.0,12
85,0.3542326149152095,0.0,12
86,0.3484281565505541,0.0,12
87,0.3423608914453882,0.0,12
88,0.33604863141679914,0.0,12
89,0.3295102159955903,0.0,12
90,0.32276529515201685,0.0,12
91,0.3158341202376777,0.0,12
92,0.3087373451058746,0.0,12
93,0.30149583896094684,0.0,12
94,0.2941305121101466,0.0,12
95,0.28666215545080714,0.0,12
96,0.27911129422121295,0.0,12
97,0.2714980562751972,0.0,12
98,0.2638420549069744,0.0,12
99,0.2561622860524608,0.0,12
100,0.24847703952440978,0.0,12
101,0.24080382379892126,0.0,12
102,0.23315930375791652,0.0,12
103,0.2255592507036267,0.0,12
104,0.2180185038945789,0.0,12
105,0.21055094280560893,0.0,12
106,0.20316946928475313,0.0,12
107,0.19588599876528776,0.0,12
108,0.18871145968957923,0.0,12
109,0.1816558003108557,0.0,12
110,0.17472800205769534,0.0,12
111,0.1679360986723116,0.0,12
112,0.16128720036609623,0.0,12
113,0.15478752227302114,0.0,12
114,0.14844241652219106,0.0,12
115,0.14225640729404435,0.0,12
116,0.1362332282694654,0.0,12
117,0.130375861926628,0.0,12
118,0.12468658018602857,0.0,12
119,0.11916698594932718,0.0,12
120,0.11381805512180404,0.0,12
121,0.1086401787510689,0.0,12
122,0.10363320495581795,0.0,12
